directed weighted
1 2 -65
1 3 71
1 4 67
1 5 68
1 6 72
1 7 73
2 8 72
2 9 70
2 10 67
2 11 67
2 12 67
2 13 71
3 14 -55
3 15 59
3 16 63
3 17 63
3 18 56
3 19 56
4 20 -58
4 21 59
4 22 64
4 23 64
4 24 62
4 25 60
5 26 9
5 27 6
5 28 0
5 29 7
5 30 8
5 31 0
6 32 47
6 33 12
6 34 8
6 35 3
6 36 0
6 37 3
7 38 -58
7 39 61
7 40 63
7 41 61
7 42 61
7 43 59
8 44 17
8 45 3
8 46 6
8 47 5
8 48 -2
8 49 6
9 50 -17
9 51 26
9 52 23
9 53 18
9 54 17
9 55 27
10 56 47
10 57 -40
10 58 42
10 59 49
10 60 41
10 61 49
11 62 -3
11 63 13
11 64 13
11 65 8
11 66 4
11 67 13
12 68 -7
12 69 8
12 70 16
12 71 14
12 72 17
12 73 15
13 74 27
13 75 -27
13 76 29
13 77 36
13 78 33
13 79 37
14 80 65
14 81 55
14 82 65
14 83 55
14 84 62
14 85 65
15 86 -11
15 87 16
15 88 19
15 89 19
15 90 12
15 91 13
16 92 -58
16 93 58
16 94 67
16 95 58
16 96 60
16 97 64
17 98 8
17 99 2
17 100 0
17 101 6
17 102 0
17 103 8
83 86 18
45 11 12
51 15 17
65 4 63
19 100 8
96 46 3
67 74 -8
62 7 60
36 25 2
101 17 4
20 48 68
54 25 3
14 36 59
45 19 6
76 74 8
7 33 59
18 35 6
17 61 1
88 92 60
58 86 14
3 83 55
91 96 0
3 1 70
39 30 -3
43 4 63
31 10 43
101 28 0
65 67 8
27 19 -5
27 24 15
98 81 0
5 71 2
2 87 69
19 36 7
39 71 4
86 102 19
102 30 7
33 18 -3
38 86 60
51 13 30
58 16 60
54 22 -1
81 68 14
17 55 6
9 25 24
45 80 -1
84 48 5
37 2 68
19 10 50
56 72 -5
16 89 59
16 83 68
64 19 14
95 82 22
16 81 65
27 15 18
97 22 10
26 42 -1
27 61 15
67 37 8
103 6 5
98 43 0
80 40 2
28 34 8
66 86 15
99 40 6
42 10 49
55 64 -3
101 81 4
43 51 8
2 79 71
34 62 5
10 42 46
3 2 65
67 40 14
51 79 8
40 79 6
91 58 6
52 10 41
22 42 9
30 92 61
91 6 9
29 93 1
21 10 48
47 24 3
48 5 3
40 65 1
35 61 5
40 35 9
30 56 15
30 66 12
90 57 47
49 42 9
60 56 9
76 34 5
55 7 66
7 45 61
64 29 8
19 50 25
10 36 41
31 59 1
36 14 64
64 43 3
41 23 -15
93 75 28
85 42 3
85 1 71
102 8 4
41 24 24
17 97 8
37 17 6
72 97 9
1 19 69
20 70 59
3 72 58
78 26 11
71 84 5
41 96 21
85 3 65
4 72 64
67 30 8
58 98 10
26 64 12
100 34 2
19 58 5
2 33 70
59 42 5
62 87 3
95 66 -4
56 43 7
85 32 7
54 91 7
55 5 11
79 5 5
21 40 6
44 8 7
18 102 11
103 48 10
70 42 10
57 52 41
53 100 7
69 38 58
41 58 20
95 59 10
33 101 3
46 6 9
1 73 67
34 31 8
57 58 42
73 77 -13
37 59 5
25 51 3
97 30 11
45 35 5
18 41 19
33 1 71
16 88 63
91 18 6
33 88 11
99 70 3
51 56 7
82 29 5
6 85 0
66 20 66
27 92 59
34 26 2
101 31 10
49 67 8
59 58 9
73 44 13
100 22 5
96 39 9
58 69 -2
30 9 23
70 65 7
1 76 71
94 2 66
31 54 2
57 91 48
39 47 11
68 88 13
45 47 9
66 54 6
56 21 13
58 25 10
18 58 10
101 100 3
49 73 23
71 27 11
8 76 7
55 33 12
7 22 67
79 61 4
32 87 -3
59 68 9
89 87 12
41 55 20
36 1 73
69 91 10
75 86 30
90 71 -2
40 72 6
80 97 6
23 61 19
54 23 25
17 14 56
59 52 0
39 96 13
30 69 9
80 62 3
96 68 10
18 62 9
26 19 13
90 18 11
64 52 4
42 26 4
29 2 72
89 36 8
98 8 10
4 37 64
32 79 6
61 90 3
35 39 9
34 68 9
3 40 56
26 38 68
28 29 0
48 46 9
48 67 9
71 54 5
81 99 4
16 40 62
25 90 8
12 63 9
60 101 0
101 69 8
17 88 7
61 99 3
39 68 8
94 28 8
77 43 23
45 17 11
43 26 10
42 13 32
8 31 12
59 21 10
47 15 16
22 83 6
62 56 14
48 73 14
30 64 4
98 80 7
59 65 1
5 102 7
72 49 15
41 27 22
10 71 42
71 44 9
92 22 58
39 89 4
65 31 9
53 25 -2
73 64 18
75 50 33
95 70 6
65 100 10
34 19 11
98 21 2
69 59 11
54 20 68
25 78 8
35 84 5
79 76 -2
51 46 0
86 11 19
48 66 9
91 57 48
77 63 22
55 46 3
15 44 20
71 11 8
37 9 20
38 83 63
50 59 18
76 21 7
86 71 11
32 95 14
82 13 27
41 91 20
10 75 49
36 75 37
47 65 4
81 98 9
24 15 11
7 66 65
99 17 8
85 72 7
63 72 12
10 53 45
59 39 13
46 59 4
81 22 2
86 30 19
47 93 2
54 90 12
34 22 1
66 15 18
93 7 62
36 89 4
34 36 0
85 36 2
73 21 15
48 92 59
22 72 7
11 71 10
78 68 14
43 63 3
79 58 10
38 56 63
61 92 64
83 81 3
65 22 7
58 6 9
1 27 75
34 5 7
28 63 9
69 61 9
24 79 5
75 73 36
87 53 12
92 65 66
5 73 16
66 94 6
28 47 7
46 20 64
77 99 21
64 80 8
58 77 22
62 70 4
87 64 4
14 69 65
95 48 9
22 62 11
42 78 2
60 78 5
75 24 32
74 57 45
38 42 59
88 68 14
25 47 4
29 9 25
43 89 5
76 42 9
32 99 11
78 66 5
67 89 15
69 80 9
1 52 70
100 47 7
85 44 3
68 89 10
10 37 41
98 78 2
10 21 44
50 89 23
61 48 8
11 32 8
25 46 10
90 34 2
21 62 7
65 9 17
39 61 8
99 97 2
96 30 7
26 33 13
103 90 4
67 53 15
53 85 6
20 10 61
98 71 8
50 60 27
69 79 3
35 37 -1
43 99 5
31 66 6
99 98 10
84 47 3
81 11 11
97 95 5
61 54 2
23 10 48
16 5 66
55 79 4
101 37 2
68 56 7
88 9 21
7 31 67
29 18 10
70 60 1
15 51 20
98 51 4
97 42 11
62 33 5
7 54 66
34 11 8
7 94 58
65 64 6
36 57 41
66 81 4
71 7 66
40 81 0
19 74 8
36 46 3
82 39 11
103 33 7
52 90 11
38 54 59
1 80 72
88 75 32
89 83 3
102 87 13
57 67 41
26 88 4
74 81 9
51 71 7
27 10 42
59 48 3
54 96 7
23 71 22
87 30 4
65 70 3
58 103 3
32 86 20
49 58 11
62 44 11
39 99 4
17 2 75
50 41 24
79 102 10
18 71 3
31 64 4
97 6 10
55 45 5
13 65 32
87 56 12
28 70 5
67 34 12
83 9 17
8 56 6
96 76 5
80 41 21
41 87 15
87 74 17
21 101 1
79 18 9
68 67 14
18 4 61
102 65 8
101 19 7
35 65 8
7 59 60
37 70 2
26 28 2
103 69 2
99 71 11
73 79 20
71 96 5
15 28 11
25 87 10
43 17 1
46 78 9
81 49 4
38 47 60
26 68 16
54 44 3
37 52 3
37 61 9
36 43 3
60 86 19
26 59 1
77 61 20
67 2 69
45 2 68
54 63 11
67 50 22
101 64 5
34 15 18
49 5 9
47 92 59
28 42 2
42 21 1
72 6 7
80 33 11
30 99 11
32 39 4
77 48 16
73 50 18
29 48 3
2 43 68
102 37 2
25 35 8
85 52 6
55 25 11
36 49 3
39 41 19
75 89 36
61 19 14
61 56 11
61 3 65
51 6 10
15 31 15
103 13 37
62 53 3
81 46 8
2 14 69
13 57 40
49 7 67
55 16 63
20 27 62
91 31 8
28 18 8
96 71 8
27 80 11
70 72 10
36 83 0
28 13 32
25 101 11
45 69 3
