vertex_name,position_x,position_y
1,-0.1054,-0.5363
2,-0.1396,-0.5915
3,0.526,-0.3347
4,0.5026,-0.2748
5,-0.09271,0.187
6,-0.005516,0.1935
7,0.5241,-0.2789
8,-0.08454,0.1364
9,0.1088,0.006225
10,0.1685,0.1775
11,-0.06694,0.06273
12,0.1779,0.01281
13,-0.2143,0.121
14,0.4154,-0.2017
15,0.1299,0.07695
16,-0.05571,-0.3167
17,-0.08069,0.07735
18,-0.05658,0.114
19,0.1165,0.2772
20,0.537,-0.3086
21,0.04891,0.03452
22,0.04546,0.2365
23,-0.00953,0.01663
24,0.1791,0.165
25,-0.04044,0.2037
26,0.01902,0.1994
27,0.1428,0.1754
28,0.07237,0.1169
29,0.07348,0.1888
30,-0.03251,0.1443
31,0.09475,0.2469
32,-0.0175,0.00674
33,0.03544,0.05172
34,0.04501,0.1244
35,-0.1199,0.1228
36,-0.02643,0.1894
37,-0.1199,0.1228
38,0.5241,-0.2789
39,0.0001179,0.03342
40,0.002427,0.07431
41,-0.00953,0.01663
42,0.01652,0.05943
43,0.001909,0.1795
44,0.06245,0.05588
45,-0.01098,0.01399
46,-0.05356,0.1766
47,0.05307,0.07519
48,-0.03317,0.06197
49,-0.0367,0.1612
50,0.03967,-0.02189
51,-0.03143,0.1306
52,-0.04019,0.1888
53,-0.1804,0.02882
54,0.02466,0.1526
55,-0.1758,0.1278
56,-0.01406,-0.017
57,0.2356,-0.126
58,0.01768,0.2148
59,0.03603,0.07008
60,0.06273,0.1358
61,-0.06005,0.05555
62,0.005417,0.07166
63,0.08555,0.09453
64,0.003992,0.201
65,0.05342,0.167
66,-0.002728,0.1018
67,0.06168,0.08738
68,0.02131,0.08511
69,0.02632,0.2777
70,0.02469,0.1583
71,-0.005896,0.1144
72,-0.02093,0.03918
73,0.1605,0.1348
74,-0.02758,0.1746
75,-0.2811,-0.07907
76,-0.03989,0.07634
77,0.1769,0.1173
78,-0.05327,0.003693
79,-0.02809,0.0658
80,-0.06902,0.1595
81,-0.02009,0.03082
82,0.08911,0.1465
83,-0.02643,0.1894
84,-0.05523,0.1063
85,-0.1464,0.07822
86,0.1106,0.1658
87,-0.1037,-0.1001
88,0.01688,0.03209
89,-0.02152,0.1497
90,0.01422,0.109
91,0.04583,0.2088
92,-0.05543,-0.3555
93,-0.03924,0.0293
94,0.04167,0.04306
95,-0.1375,0.07892
96,-0.08279,0.2134
97,-0.09021,0.05321
98,0.0236,0.1777
99,-0.03517,0.1153
100,-0.03364,0.1178
101,-0.1029,-0.002507
102,0.0455,0.2064
103,0.02486,0.2477
