undirected weighted
1 473 551
1 797 1373
1 941 1532
1 659 1864
2 615 1078
2 137 229
2 357 329
2 697 1121
3 532 755
3 879 619
3 889 532
3 693 1620
4 644 600
4 194 447
4 939 1317
4 106 1143
5 659 1138
5 772 979
5 9 866
5 998 938
6 46 1447
6 929 1871
6 499 1855
6 342 261
7 743 538
7 171 1482
7 993 1402
7 691 1068
8 616 545
8 333 2304
8 285 1136
8 836 427
9 452 1728
9 617 1250
9 709 1644
9 466 509
10 766 1245
10 276 885
10 305 2542
10 950 1559
11 731 1069
11 950 1751
11 552 1730
11 570 407
12 609 642
12 24 909
12 927 1302
12 968 989
13 499 1678
13 482 852
13 943 1862
13 529 630
14 730 916
14 382 760
14 463 1201
14 766 1218
15 431 1955
15 266 832
15 575 1295
15 299 630
16 377 1557
16 22 180
16 179 1759
16 56 1369
17 431 949
17 371 542
17 517 597
17 649 1813
18 814 370
18 447 1083
18 304 1515
18 481 1305
19 754 981
19 264 1637
19 610 1033
19 627 1212
20 707 178
20 763 1072
20 861 600
20 475 1646
21 472 1319
21 223 1490
21 884 524
21 857 896
22 8 673
22 862 1662
22 479 1790
22 728 1263
23 50 2070
23 270 552
23 184 1001
23 429 1516
24 396 1735
24 81 448
24 364 671
24 667 1064
25 366 1335
25 870 2182
25 376 1872
25 635 1132
26 436 1797
26 349 631
26 417 1261
26 722 590
27 731 203
27 533 1014
27 608 1122
27 178 401
28 48 1340
28 867 1306
28 868 1525
28 620 1947
29 592 585
29 127 1243
29 883 1198
29 192 1654
30 627 1056
30 241 1810
30 144 1021
30 516 1831
31 497 847
31 533 1242
31 518 929
31 969 560
32 171 1114
32 69 1060
32 759 1237
32 236 516
33 83 552
33 790 692
33 488 558
33 769 989
34 349 841
34 983 477
34 510 1358
34 320 1508
35 464 1566
35 13 500
35 867 1549
35 909 466
36 97 1017
36 805 1267
36 999 541
36 828 1217
37 704 584
37 707 485
37 170 1053
37 988 970
38 95 1139
38 969 2118
38 750 273
38 961 548
39 859 403
39 264 1024
39 362 520
39 686 561
40 255 582
40 129 183
40 35 1132
40 28 815
41 634 1841
41 861 1630
41 585 1390
41 492 1325
42 729 641
42 211 1445
42 839 1534
42 364 1305
43 398 1689
43 99 1398
43 207 883
43 944 420
44 691 428
44 723 1053
44 785 1398
44 871 1438
45 717 1096
45 357 1665
45 919 1188
45 912 1554
46 143 1238
46 345 1257
46 750 418
46 865 1059
47 518 1370
47 609 935
47 7 1674
47 22 1421
48 286 2241
