vertex_name,position_x,position_y
1,45104,-34507
2,-68247,-56942
3,-52792,-15072
4,-99135,67121
5,30573,91185
6,74928,-24688
7,-36400,28922
8,45995,10573
9,89876,-37323
10,68611,56830
11,52761,3475
12,24292,-8135
13,-54844,88438
14,-52364,56328
15,83907,-30243
16,-14365,81472
17,-84659,46641
18,-92434,37584
19,91624,-29607
20,-45662,-82091
21,-37861,56824
22,75141,50060
23,-54308,38265
24,51983,33993
25,60190,-86850
26,26702,5134
27,62562,89860
28,22792,24932
29,51643,85312
30,77580,87504
31,85529,-37893
32,-35881,-29138
33,73664,-81494
34,-3050,-76114
35,-18446,-36703
36,-72737,-69554
37,87826,-15204
38,-3051,64746
39,-38819,-25509
40,-28833,75904
41,-42310,-59270
42,-40192,74234
43,-79239,16932
44,-7001,24026
45,-82085,-90254
46,-75325,-29628
47,49295,50431
48,-73004,7855
49,39435,68340
50,-46288,4623
51,81033,-11472
52,-99874,99703
53,-49226,-26105
54,14982,-69565
55,-77519,-26383
56,-54032,-21891
57,44110,-40454
58,54620,18422
59,16750,-55658
60,85437,-78330
61,21238,-60894
62,-78249,10199
63,21490,74053
64,96476,-76352
65,-56978,25121
66,-23873,-69770
67,81932,-65903
68,-25280,-66141
69,-93464,58472
70,56255,-40546
71,-68047,-33637
72,24070,-43030
73,-34651,44018
74,-84881,-69214
75,-5669,-45325
76,-43057,-93183
77,15375,21841
78,-58996,-77932
79,12436,25162
80,66082,48131
81,-56077,-75857
82,46447,63972
83,40456,13000
84,93836,33405
85,58347,87066
86,4791,-18784
87,-46839,55685
88,8666,94370
89,-40626,-25669
90,-34065,8542
91,-65553,37552
92,52079,-44530
93,11492,-46740
94,48810,-35312
95,-55001,-18654
96,752,-67487
97,-98910,8033
98,15764,-5418
99,2860,25265
100,-67380,-30349
101,35848,-88643
102,96907,-36125
103,80982,20295
104,54967,-63553
105,-68276,-73617
106,-33637,65026
107,23325,11170
108,33722,-75365
109,-96137,-98502
110,-85816,-17522
111,58171,-94157
112,-93161,-36046
113,-62017,31924
114,-31499,61776
115,-55300,3238
116,57460,-91827
117,34316,-97883
118,73468,-95488
119,74618,-32533
120,-46509,-59169
121,21716,-96842
122,75121,75649
123,-85196,61418
124,31233,89655
125,-36416,26166
126,32591,36411
127,5142,2488
128,73212,34190
129,59408,8045
130,76876,25895
131,-63941,23208
132,-19143,31633
133,73062,32638
134,-34784,-25227
135,96504,23415
136,-98251,45540
137,49172,2285
138,-29513,44519
139,-50855,68426
140,-51353,42589
141,-38506,-73013
142,-78082,31078
143,-15345,84332
144,48916,67760
145,-94534,31296
146,-23199,82315
147,72826,1276
148,-92034,-19290
149,-75702,77064
150,44201,-84789
151,-59637,90531
152,45724,-40383
153,77942,-62031
154,-82307,-53816
155,-5934,-2442
156,-91999,22271
157,-56304,-86561
158,-47014,50403
159,-14338,43312
160,49150,30402
161,20519,1244
162,-66254,-15881
163,-72093,41331
164,41401,15456
165,-99061,3961
166,21967,-51102
167,-8349,14656
168,-55801,21438
169,7949,36028
170,-56031,-76556
171,-18248,21118
172,24940,66009
173,65946,23205
174,23535,16884
175,-11203,86698
176,-48219,99251
177,-29123,-51008
178,25553,24971
179,46876,-29303
180,38154,-40753
181,48109,84560
182,-35650,82483
183,48742,95327
184,-42687,32631
185,41154,75671
186,9280,-9607
187,-65127,3574
188,15798,54064
189,56656,-84617
190,7679,-77584
191,-17396,-94396
192,-18966,-32941
193,19351,87312
194,4070,-45806
195,-85700,55439
196,67012,-62085
197,70801,83342
198,-21948,38175
199,75661,-9619
200,-8843,49050
201,-44869,-35596
202,-37932,-68290
203,97611,-42743
204,-17637,88035
205,74075,31051
206,-60046,97913
207,-91095,-81638
208,-64359,10274
209,-78783,90701
210,61760,36354
211,51091,-78758
212,5821,73115
213,98678,-84144
214,-82347,16419
215,-81329,39294
216,8340,-33144
217,83293,-80556
218,-6179,61163
219,-91283,15543
220,41158,-93979
221,15118,-5588
222,-3887,50249
223,21980,-3582
224,14082,-23511
225,-13527,-86040
226,-35306,94228
227,-33930,-16965
228,-86446,14160
229,87252,19381
230,50227,-52078
231,-21603,67781
232,22605,-92322
233,3030,77781
234,70023,32952
235,86244,-802
236,-9757,-57819
237,-75276,20050
238,97651,-49577
239,2662,84115
240,-56553,-47140
241,96742,-41548
242,76177,-24756
243,45022,58742
244,31351,-6187
245,-98789,-66079
246,72640,24309
247,-86841,-82875
248,-14791,-84531
249,61693,-9029
250,-56862,79350
251,87250,-86734
252,70572,91411
253,81187,-66172
254,-64933,41440
255,-12129,22678
256,-92127,78275
257,63,-53735
258,69434,-28358
259,-42595,28888
260,5665,-99347
261,48064,69428
262,22909,53872
263,98528,29909
264,-24973,-73936
265,-55296,-46761
266,-68558,-3896
267,9920,28789
268,-23880,8176
269,-24396,80414
270,9930,-41392
271,69463,-90422
272,74942,-63392
273,47193,48055
274,683,50530
275,-51411,80300
276,-97593,35140
277,66313,-41562
278,-63993,-26133
279,55923,98505
280,3080,40554
281,-35858,10113
282,78165,57510
283,-40743,39615
284,91808,10197
285,49018,-83718
286,-29961,40940
287,-79087,-36267
288,15733,97790
289,58251,18087
290,-88418,-2646
291,-34710,-79055
292,-25337,12763
293,47406,54421
294,-55910,-27074
295,-82379,57582
296,15412,-48009
297,15237,-51487
298,-14137,-90592
299,-90517,-36923
300,51033,9407
301,-69525,-43222
302,38190,-38552
303,72452,21247
304,49813,-52246
305,-5331,63459
306,63666,41012
307,59203,-71404
308,-86,99232
309,75411,68208
310,-83329,-41131
311,-12340,70491
312,-28276,-11660
313,-52143,-68365
314,-39436,19665
315,-17106,30296
316,-83253,-62789
317,23789,89459
